"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","26","Update exercise","LMS service","Tue Mar 24 16:41:44 UTC 2026","passed","Tue Mar 24 16:41:44 UTC 2026","Update entity","Exercises","",""
"","35","Create course","LMS service","Tue Mar 24 16:41:43 UTC 2026","passed","Tue Mar 24 16:41:43 UTC 2026","Get entity","Courses","",""
"","13","Get user me","LMS service","Tue Mar 24 16:41:51 UTC 2026","passed","Tue Mar 24 16:41:51 UTC 2026","Get entity","Users","",""
"","520","Create user","LMS service","Tue Mar 24 16:41:49 UTC 2026","passed","Tue Mar 24 16:41:50 UTC 2026","Create entity","Users","",""
"","255","Create file with empty filename","LMS service","Tue Mar 24 16:41:48 UTC 2026","passed","Tue Mar 24 16:41:49 UTC 2026","Validate entity","Files","",""
"","20","Get exercises","LMS service","Tue Mar 24 16:41:46 UTC 2026","passed","Tue Mar 24 16:41:46 UTC 2026","Get entities","Exercises","",""
"","260","Get file with incorrect file id","LMS service","Tue Mar 24 16:41:49 UTC 2026","passed","Tue Mar 24 16:41:50 UTC 2026","Validate entity","Files","",""
"","551","Create user","LMS service","Tue Mar 24 16:41:50 UTC 2026","passed","Tue Mar 24 16:41:50 UTC 2026","Create entity","Users","",""
"","537","Login with correct email and password","LMS service","Tue Mar 24 16:41:41 UTC 2026","passed","Tue Mar 24 16:41:42 UTC 2026","Login","Authentication","",""
"","21","Create file","LMS service","Tue Mar 24 16:41:46 UTC 2026","passed","Tue Mar 24 16:41:46 UTC 2026","Create entity","Files","",""
"","524","Create user","LMS service","Tue Mar 24 16:41:49 UTC 2026","passed","Tue Mar 24 16:41:49 UTC 2026","Create entity","Users","",""
"","32","Update course","LMS service","Tue Mar 24 16:41:42 UTC 2026","passed","Tue Mar 24 16:41:42 UTC 2026","Update entity","Courses","",""
"","24","Create exercise","LMS service","Tue Mar 24 16:41:44 UTC 2026","passed","Tue Mar 24 16:41:44 UTC 2026","Create entity","Exercises","",""
"","21","Delete exercise","LMS service","Tue Mar 24 16:41:45 UTC 2026","passed","Tue Mar 24 16:41:45 UTC 2026","Delete entity","Exercises","",""
"","16","Create file with empty directory","LMS service","Tue Mar 24 16:41:49 UTC 2026","passed","Tue Mar 24 16:41:49 UTC 2026","Validate entity","Files","",""
"","20","Delete file","LMS service","Tue Mar 24 16:41:47 UTC 2026","passed","Tue Mar 24 16:41:47 UTC 2026","Delete entity","Files","",""
"","32","Get courses","LMS service","Tue Mar 24 16:41:43 UTC 2026","passed","Tue Mar 24 16:41:43 UTC 2026","Get entities","Courses","",""
"","16","Get file","LMS service","Tue Mar 24 16:41:47 UTC 2026","passed","Tue Mar 24 16:41:48 UTC 2026","Get entity","Files","",""
"","46","Get exercise","LMS service","Tue Mar 24 16:41:45 UTC 2026","passed","Tue Mar 24 16:41:45 UTC 2026","Get entity","Exercises","",""
